id,company_name,industry_tags,business_scope,registered_capital,capital_amount,established_date,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,tech_stack,cloud_provider,has_github_org,has_tech_blog,ai_job_ratio,hire_count,news_count,dig_bid_count
165,中铁桥研科技有限公司,['数字化改造验收'],1 天前&ensp;&#0183;&ensp;中铁一局塞拉利昂铁路运维项目7月份运量破百万吨 2026-08-14 智利地铁7号线巴克达诺东至PC9区间隧道顺利,5000万元,5000.00,1992-04-22,34,C,10,8,10,5,1,"['AI/ML', '物联网', '工业互联网']",,False,False,0.0000,0,20,0
136,武汉法智易科技有限公司,"['软件开发', '法律科技']",法律科技平台、合同管理软件、信息技术服务、软件开发,500万元,500.00,2019-01-01,30,C,8,0,20,0,2,,,,,,0,7,0
182,博世华域转向系统(武汉)有限公司,['数字化改造验收'],。 1926年，博世在上海创建了首家汽车售后 … 。 第一是博世平台很大，业内名声很响，而且在博世内学习培训的机会很多。 我刚加入博世的时候，每个工程师每年有5,13800万元,13800.00,2013-11-14,25,C,0,10,10,5,0,,,False,False,0.0000,0,20,0
211,智新控制系统有限公司,['数字化改造验收'],。 引申义有智慧、智谋、计谋、策略、有智 … 智谱推出 AutoClaw（澳龙）——国内首款一键安装的本地 OpenClaw 客户端。 内置50+Skills，,23170万元,23170.00,2017-09-22,25,C,0,10,10,5,0,,,,,,0,10,0
152,东风马勒热系统有限公司,['数字化改造验收'],东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相关业务 … 。 2023年品牌销量 … 。,13860万元,13860.00,2004-06-10,20,C,0,10,5,5,0,,,False,False,0.0000,0,20,0
143,东风佛吉亚汽车内饰有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",45000万元,45000.00,2015-05-07,20,C,0,10,5,5,0,,,False,False,0.0000,0,20,0
234,武汉东泰盛机械有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,8000万元,8000.00,2013-10-15,18,D,5,8,0,5,0,,,False,True,0.0000,0,11,0
194,宝武轻材(武汉)有限公司,['数字化改造验收'],宝（拼音：bǎo）为汉语一级通用规范汉字（常用字）。 此字始见于商代甲骨文及商代金文，其古字形模拟房屋内有玉、贝等宝物。 … 在最受欢迎的免费在线小游戏网站上发,,,,17,D,10,0,5,0,2,,,,,,0,10,0
216,格力暖通制冷设备(武汉)有限公司,['数字化改造验收'],珠海格力电器股份有限公司是一家集研发、生产、销售、服务于一体的国际化家电企业，拥有格力、TOSOT、晶弘三大品牌，主营家 … 珠海格力电器股份有限公司（英文名：,,,,17,D,10,0,5,0,2,,,,,,0,10,0
164,中铁十一局武汉重型装备有限公司,['数字化改造验收'],1 天前&ensp;&#0183;&ensp;中铁一局塞拉利昂铁路运维项目7月份运量破百万吨 2026-08-14 智利地铁7号线巴克达诺东至PC9区间隧道顺利,,,,16,D,10,0,5,0,1,,,False,False,0.0000,0,10,0
149,东风悦享科技有限公司,['数字化改造验收'],东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相关业务 … 。 2023年品牌销量 … 。,7万元,7.00,,15,D,15,0,0,0,0,,,False,False,0.5000,2,10,0
141,东风(武汉)电驱动系统有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",,,,15,D,0,0,15,0,0,,,False,False,0.0000,0,20,0
181,南斗六星(武汉)技术有限公司,['数字化改造验收'],人马座的一部分恒星，六颗亮星在南天排列成斗（或勺）形。 南斗六颗星名由斗宿一、斗宿二、斗宿三、斗宿四、斗宿五、斗宿六， … 民间专设南斗星君庙供奉，称“延寿司”,39793万元,39793.00,2001-08-08,15,D,0,10,0,5,0,,,False,False,0.0000,0,17,0
177,华基环保(武汉)有限公司,['数字化改造验收'],华（拼音：hu&#225;，hu&#224;，huā）是汉语一级通用规范汉字（常用字）。 此字初文见于西周金文，其古字形像花朵，本义指草木的花， … ” 例如 ,11000万元,11000.00,,15,D,0,10,0,5,0,,,False,False,0.0000,0,20,0
178,华引芯(武汉)科技有限公司,['数字化改造验收'],华（拼音：hu&#225;，hu&#224;，huā）是汉语一级通用规范汉字（常用字）。 此字初文见于西周金文，其古字形像花朵，本义指草木的花， … ” 例如 ,2972万元,2972.00,2017-09-21,15,D,0,5,10,0,0,,,False,False,0.0000,0,22,0
221,武汉一冶钢结构有限责任公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,12000万元,12000.00,2004-03-18,15,D,0,10,0,5,0,"['TypeScript', 'AI/ML', '云计算']",,False,False,0.0000,0,10,0
206,数码模冲压技术(武汉)有限公司,['数字化改造验收'],数码之家，数码产品集中营，最新最热最酷最有趣的电子产品荟萃，数码家电、数码相机、笔记本电脑、平板电脑、奇趣电子、台式机、3D电 … 手机数码 5G | 安卓 |,43200万元,43200.00,2011-09-01,15,D,0,10,0,5,0,,,,,,0,13,0
153,中交二航局科工(武汉)有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指 … 中是多音字，拼音是zhōng、,20030万元,20030.00,2014-06-06,15,D,0,10,0,5,0,,,False,False,0.0000,0,9,0
208,晓筬(武汉)机电集成系统有限公司,['数字化改造验收'],晓，汉字，汉语常用字（一级字），读作xiǎo，形声字，最早见于《说文》小篆。 本义为天刚亮；后来引申为明智、明白、知道、告诉等义； … 晓执行任务时采取双人组队,20000万元,20000.00,2019-03-06,15,D,0,10,0,5,0,,,,,,0,10,0
201,康明斯电力(中国)有限公司,['数字化改造验收'],康（拼音：kāng）是汉语一级通用规范汉字（常用字）。 此字始见于商代甲骨文。 “康”字本义尚不明确，《说文解字》认为“康”是“ … 征服者康（Kang the,5240万元,5240.00,2008-07-16,13,D,0,8,0,5,0,,,,,,0,11,0
223,武汉万兴汽车零配件制造有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,1555万元,1555.00,1995-05-29,10,D,0,5,5,0,0,,,False,False,0.0000,0,19,0
171,先惠自动化技术(武汉)有限责任公司,['数字化改造验收'],先（拼音：xiān）是汉语一级通用规范汉字（常用字）。 此字初文始见于商代甲骨文及商代金文，古字形从止（指脚）从人，人举足 … 例如先陇 (祖坟);先陵 (帝王,500万元,500.00,2016-09-28,10,D,0,0,10,0,0,,,False,False,0.0000,0,20,0
172,凯德自控武汉智能装备有限公司,['数字化改造验收'],凯，汉语一级字，拼音为kǎi，部首为“几”，总笔画8画，收录于《通用规范汉字表》。 本义指军队得胜后演奏的乐曲，后引申为和乐、 … 凯的拼音是kǎi，凯字共8画,,,2015-06-30,10,D,0,0,10,0,0,,,False,False,0.0000,0,20,0
