id,company_id,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,demand_tags,sales_pitch,reasoning,rated_by,rated_at
178,1,34,C,15,10,0,5,4,,,,rules_engine,2026-08-06 16:37:55.195545
179,2,66,A,15,25,10,10,6,,,,rules_engine,2026-08-06 16:37:55.195545
180,3,50,B,15,23,5,5,2,,,,rules_engine,2026-08-06 16:37:55.195545
181,4,41,B,15,10,5,5,6,,,,rules_engine,2026-08-06 16:37:55.195545
182,5,25,C,15,10,0,0,0,,,,rules_engine,2026-08-06 16:37:55.195545
183,6,49,B,10,15,13,5,6,,,,rules_engine,2026-08-06 16:37:55.195545
184,13,76,A,10,25,25,10,6,,,,rules_engine,2026-08-06 16:37:55.195545
185,9,42,B,8,10,15,5,4,,,,rules_engine,2026-08-06 16:37:55.195545
186,10,34,C,10,10,5,5,4,,,,rules_engine,2026-08-06 16:37:55.195545
187,12,69,A,15,18,23,5,8,,,,rules_engine,2026-08-06 16:37:55.195545
188,14,64,A,15,20,18,5,6,,,,rules_engine,2026-08-06 16:37:55.195545
189,15,63,A,15,20,18,0,10,,,,rules_engine,2026-08-06 16:37:55.195545
190,11,67,A,15,23,18,5,6,,,,rules_engine,2026-08-06 16:37:55.195545
191,7,41,B,10,15,5,5,6,,,,rules_engine,2026-08-06 16:37:55.195545
192,8,63,A,10,15,28,5,5,,,,rules_engine,2026-08-06 16:37:55.195545
208,13,62,B,0,0,0,0,0,"[""智能制造"", ""工业互联网"", ""数据中台""]",光纤智造升级，数字化转型咨询落地,技术投入方面，经营范围涵盖光纤光缆研发制造、通信及数字化服务，技术栈较丰富，得分24/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无明确动态，按中等水平计13/25；团队规模技术岗位占比10%，团队规模一般，得分7/15；行业匹配度光纤光缆制造业数字化转型需求较高，得分8/10。总分62，对应B级。,deepseek,2026-08-06 16:39:34.262292
